mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5690659046173095,0.1623938840058207,0.09526710510253907,0.06941381305066091,0.001,500,l1,liblinear,"{'clf__C': 0.001, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,23,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.7988945960998535,0.13071737750673265,0.15682244300842285,0.11530657773487248,0.001,500,l1,saga,"{'clf__C': 0.001, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,23,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.26375460624694824,0.2768247390182566,0.048228216171264646,0.038926082493431984,0.001,500,l2,liblinear,"{'clf__C': 0.001, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9528103169662787,0.9603241972094895,0.9486478159445169,0.960475103590943,0.9440954734373329,0.9532705814297122,0.006440854693588798,21,0.9530060236797264,0.9529961990455169,0.9556928646432635,0.9518211727940945,0.9555816497840153,0.9538195819893233,0.0015458037858334017
0.38272814750671386,0.08487854141543624,0.1118288516998291,0.06514817075416972,0.001,500,l2,saga,"{'clf__C': 0.001, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9526594105848252,0.9603619238048529,0.9485346361584266,0.9604436647614736,0.9439194159923037,0.9531838102603765,0.006510754448430002,22,0.9529121001766861,0.9528771244789014,0.9555867585938039,0.9517343230276852,0.9554967649444476,0.9537214142443048,0.0015458153590828885
0.07493858337402344,0.03706985282963746,0.051873779296875,0.05525563584424182,0.01,500,l1,liblinear,"{'clf__C': 0.01, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9584127163777438,0.9556335238526399,0.9492262904067557,0.9654235753494427,0.9511629223020769,0.9559718056577318,0.005727752878002277,19,0.9555384213934948,0.9559632385767014,0.9578802212036042,0.9538914197146613,0.9575284992989141,0.9561603600374753,0.0014424619374606663
0.054495716094970705,0.004120228069956217,0.05455536842346191,0.03360953979856442,0.01,500,l1,saga,"{'clf__C': 0.01, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9583938530800621,0.9558598834248204,0.9489559164733179,0.9651720647136866,0.9508296707097001,0.9558422776803173,0.005763748300992909,20,0.95537572545099,0.9558052584586171,0.957783153817617,0.9537550537918371,0.9574180704104025,0.9560274523858927,0.0014597410398226106
0.16541080474853515,0.07978207349089216,0.14883899688720703,0.04741089216978232,0.01,500,l2,liblinear,"{'clf__C': 0.01, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9578656807449745,0.9607832041197442,0.9506284622010954,0.9643735184451612,0.9488427366872277,0.9564987204396406,0.005921348554402116,17,0.9563463993108609,0.9564065260722213,0.9585557630518301,0.9547870333691736,0.9585424015493056,0.9569276246706784,0.0014456719367972313
0.26325283050537107,0.030443558713497555,0.10513710975646973,0.08337101567371932,0.01,500,l2,saga,"{'clf__C': 0.01, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.957771364256566,0.9608146429492137,0.9505844478398382,0.9642792019567528,0.9487232691352435,0.9564345852275228,0.00593630185850044,18,0.9563149604813915,0.9563577958865436,0.9585133206320462,0.9547544155835991,0.9585007451002583,0.9568882475367676,0.0014425177130775139
0.08480710983276367,0.04467231522543714,0.04772200584411621,0.013960020128921209,0.1,500,l1,liblinear,"{'clf__C': 0.1, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9599657945535371,0.9585573349933035,0.9507919441143368,0.9654864530083815,0.9510560302818805,0.9571715113902879,0.005602941502158915,9,0.957175598438119,0.9572879922534724,0.9593609900716177,0.9554948000176057,0.959208904734059,0.9577056571029747,0.0014382750671593867
0.14297852516174317,0.0771610514435892,0.060021829605102536,0.033488444760235755,0.1,500,l1,saga,"{'clf__C': 0.1, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9599343557240676,0.9586265004181364,0.9507164909236099,0.9655430429014267,0.9509994403888354,0.9571639660712151,0.005649677986201522,14,0.9571716685844351,0.9572765956777898,0.9593554882764604,0.9554936210615006,0.9592010450266915,0.9576996837253755,0.0014366830151775131
